언급된 종목,조회수,해당일 거래량,다음날 거래량,해당일 평균 주가,다음날 평균 주가,업로드시간,Unnamed: 7,구독자,상장주식수,업로드 시간 원본,Unnamed: 11,주가 변화율,거래량 변화율,라벨1
카카오,122634,211730,162174,458250.0,450000.0,2021-01-14 오후 6,2021-01-14,537000,88560927,2021-01-14 오후 6:28:11,오후 6:28:11,0.01800327332242226,0.23405280309828555,0
대신증권,122634,35961,17658,13083.33333,13283.33333,2021-01-14 오후 6,2021-01-14,537000,50773400,2021-01-14 오후 6:28:11,오후 6:28:11,0.015286624207716338,0.5089680487194461,0
LG전자,28398,627408,376066,161583.3333,161583.3333,2021-02-03 오후 5,2021-02-03,693000,163647814,2021-02-03 오후 5:00:13,오후 5:00:13,0.0,0.4006037538571392,0
현대모비스,14022,317327,229859,355666.6667,354000.0,2021-02-04 오후 1,2021-02-04,602000,95054694,2021-02-04 오후 11:28:51,후 11:28:51,0.004686035707152204,0.2756399549991019,0
셀트리온,6829,219273,452562,341666.6667,351000.0,2021-02-04 오후 6,2021-02-04,602000,134997805,2021-02-04 오후 6:56:46,오후 6:56:46,0.027317073070505647,1.0639203185070665,0
신풍제약,6829,296511,284758,89783.33333,82450.0,2021-02-04 오후 6,2021-02-04,602000,52984990,2021-02-04 오후 6:56:46,오후 6:56:46,0.08167811394400136,0.03963765256600935,1
LG화학,10462,105173,186110,991666.6667,1025166.667,2021-02-04 오후 3,2021-02-04,602000,70592343,2021-02-04 오후 3:53:18,오후 3:53:18,0.033781512906427585,0.7695606286784631,0
삼성SDI,10462,76275,73949,759166.6667,756166.6667,2021-02-04 오후 3,2021-02-04,602000,68764530,2021-02-04 오후 3:53:18,오후 3:53:18,0.003951701426829783,0.03049491969845952,0
한화솔루션,15973,269912,793035,51450.0,52333.33333,2021-02-04 오후 2,2021-02-04,602000,159864497,2021-02-04 오후 2:43:24,오후 2:43:24,0.017168772206025293,1.93812427754231,0
인지컨트롤스,32956,214058,190173,24066.66667,24208.33333,2021-02-03 오후 9,2021-02-03,602000,15160128,2021-02-03 오후 9:44:02,오후 9:44:02,0.005886426314974287,0.11158190770725691,0
SK하이닉스,51206,713750,600321,130500.0,127333.3333,2021-02-03 오후 5,2021-02-03,602000,728002365,2021-02-03 오후 5:54:54,오후 5:54:54,0.024265645210727983,0.15891978984238178,0
삼성전자,51206,4309541,4035919,84600.0,83416.66667,2021-02-03 오후 5,2021-02-03,602000,5969782,2021-02-03 오후 5:54:54,오후 5:54:54,0.013987391607564941,0.06349214452304781,0
원익IPS,51206,91135,65645,49116.66667,48658.33333,2021-02-03 오후 5,2021-02-03,602000,49083901,2021-02-03 오후 5:54:54,오후 5:54:54,0.009331523718402965,0.27969495802929717,0
삼성전자,37004,5180893,4309541,84250.0,84600.0,2021-02-02 오후 1,2021-02-02,602000,5969782,2021-02-02 오후 10:12:34,후 10:12:34,0.004154302670623145,0.16818567764283107,0
칩스앤미디어,37004,162119,171658,14691.666669999999,15025.0,2021-02-02 오후 1,2021-02-02,602000,9640315,2021-02-02 오후 10:12:34,후 10:12:34,0.02268859874697942,0.05883949444543823,0
셀트리온,23998,941883,479508,360500.0,351416.6667,2021-02-02 오후 8,2021-02-02,602000,134997805,2021-02-02 오후 8:03:05,오후 8:03:05,0.02519648626907073,0.4909049213118827,0
신풍제약,23998,349194,183265,83616.66667,86466.66667,2021-02-02 오후 8,2021-02-02,602000,52984990,2021-02-02 오후 8:03:05,오후 8:03:05,0.034084114010999235,0.475177122172775,0
두산퓨얼셀,214948,233740,189669,58066.666670000006,59716.666670000006,2021-02-02 오후 5,2021-02-02,602000,65493726,2021-02-02 오후 5:27:24,오후 5:27:24,0.02841561423487855,0.1885471036194062,0
삼성전자,25378,5180893,4309541,84250.0,84600.0,2021-02-02 오후 3,2021-02-02,602000,5969782,2021-02-02 오후 3:11:01,오후 3:11:01,0.004154302670623145,0.16818567764283107,0
SK하이닉스,25378,1030763,713750,127916.6667,130500.0,2021-02-02 오후 3,2021-02-02,602000,728002365,2021-02-02 오후 3:11:01,오후 3:11:01,0.020195439473564693,0.30755178445481646,0
SK이노베이션,219042,570108,834439,286583.3333,315750.0,2021-02-01 오후 1,2021-02-01,602000,92465564,2021-02-01 오후 11:02:37,후 11:02:37,0.10177377157333804,0.46365074687603053,1
에코프로비엠,219042,50006,49415,181850.0,189383.3333,2021-02-01 오후 1,2021-02-01,602000,21035166,2021-02-01 오후 11:02:37,후 11:02:37,0.04142608358537255,0.011818581770187577,1
SK케미칼,47399,121370,124056,432333.3333,431500.0,2021-02-01 오후 7,2021-02-01,602000,11741396,2021-02-01 오후 7:44:29,오후 7:44:29,0.0019275249808733599,0.02213067479607811,0
